             レースID  馬番           pred_score
9437  202407030708   9  39.7797800000000024
9444  202407030709   8  44.2369899999999987
9458  202407030710   6  26.8728049999999996
9473  202407030711   6   48.855559999999997
9487  202407030712  10  27.2418979999999991
9495  202407030801   3  26.3108399999999989
9504  202407030802   1  39.2434769999999986
9515  202407030803   4  34.9395999999999987
9532  202407030806   3   40.118310000000001
9537  202407030807   2  49.1672999999999973
9551  202407030808   2  35.2952769999999987
9562  202407030809   3  30.6288780000000003
9573  202407030810  11  44.3052139999999994
9592  202407030811   8  42.5966949999999969
9603  202407030812   6  31.1209050000000005
9611  202407030901   6  39.4104900000000029
9621  202407030902   4  43.7067570000000032
9633  202407030904   7   42.402785999999999
9653  202407030906   2  32.0261599999999973
9666  202407030907  15  36.8347199999999972
9671  202407030908   5  43.0845070000000021
9689  202407030909   2  44.0321349999999967
9707  202407030910   3  40.1997530000000012
9712  202407030911   2  36.1683919999999972
9730  202407030912  15  31.5470809999999986
9741  202407040101  13  30.6288780000000003
9766  202407040102   3  27.4468689999999995
9773  202407040103   3  40.2750199999999978
9793  202407040104  14  26.8736229999999985
9810  202407040106  13  32.0724400000000003
9828  202407040107   1  40.3371799999999965
9837  202407040108  13  35.7950500000000034
9848  202407040109   7  40.2183879999999974
9867  202407040110   5  36.0042529999999985
9881  202407040111   4  31.4844819999999999
9892  202407040112   8  44.9116670000000013
